  index	           x	       x_err	           y	       y_err	        dist	    dist_err
    171	125.34531621	  1.64447790	128.90635582	  6.08236874	179.85203863	  4.60875078
    172	124.59115271	  2.69722391	124.53705610	  3.71645925	176.17076346	  4.16927609
    173	122.73892342	  1.49702989	133.45967342	  3.75808567	181.34643095	  2.48274802
    174	115.02340267	  2.95240758	140.08812217	  2.69138844	181.29916149	  1.28041372
    175	116.51456480	  3.08953474	140.61355364	  2.14251885	182.64456358	  1.70712824
    176	115.49696395	  2.46573680	130.30127772	  2.15021670	174.14146672	  1.85054481
    177	115.15902836	  1.91032728	129.34701066	  1.14146918	173.19249669	  1.24994891
    178	107.66449495	  3.48075297	126.89358685	  1.84549646	166.44414096	  2.34420440
    179	109.26081879	  2.07721406	133.06710728	  2.00740293	172.18653577	  2.21877198
    180	106.84044224	  1.49776557	135.24682723	  2.87776247	172.36384736	  2.79523068
    181	111.50704726	  2.03189319	143.73730591	  4.41824182	181.92661184	  4.53784677
    182	114.59787322	  1.78411259	156.10846791	  4.62802935	193.68412813	  3.68599032
    183	116.70871956	  4.36514863	159.28420134	  2.06877134	197.50474397	  2.75544284
    184	124.31127682	  2.07880580	155.27978901	  2.76887193	198.92998390	  1.98897206
    185	122.12092054	  2.56062634	156.99642675	  1.36560484	198.90987091	  2.16383594
    186	119.73546173	  1.53673706	150.71647805	  2.40772773	192.49946609	  2.03760161
    187	116.54201018	  2.10234982	150.14198625	  2.54406059	190.08644392	  1.64077121
    188	112.39917929	  2.31753327	160.67453387	  4.09480678	196.11775083	  3.13808071
    189	114.64090544	  1.62399369	161.95899270	  2.97981598	198.43260550	  3.04470840
    190	114.72238019	  2.19160798	160.21525231	  1.86453615	197.06084451	  2.33554965
    191	111.11198085	  1.58555562	165.14079014	  1.88021059	199.04879590	  1.72594537
    192	108.82268073	  2.58833704	164.54025110	  4.46859068	197.27758019	  4.90858646
    193	107.65373069	  1.76063037	153.25912096	  3.09029976	187.29802103	  3.12809519
    194	110.20882246	  1.66480568	153.94145451	  1.70206776	189.32844751	  2.08890889
    195	102.76415538	  2.56652708	157.40067485	  1.75523336	187.99606247	  1.61011699
    196	 96.25645591	  2.02199881	155.16320834	  4.21857505	182.61624734	  3.75733817
    197	 99.10154996	  1.83351430	165.41150415	  7.13089756	192.85068933	  6.70119472
