            time               x               y             v_x             v_y
             402        -16.0363        49.00508       -1.212965       0.5506491
             403       -16.57616        48.99645       -1.576826       0.7832813
             404        -17.1925        50.05734       0.7186748      -0.4073588
             405       -18.59262        50.30907      -0.6152655       -1.160517
             406       -19.04294        47.59175       -1.764949        -1.56341
             407       -18.59278        46.79484       -1.270943       -1.013643
             408       -19.84305        47.46485       -1.149801      -0.8146949
             409       -19.73135        46.92963       -3.155118       0.3948626
             410       -19.32933        46.93644       -1.370363       -1.841283
             411        -19.1403        45.04284      -0.2837155      -0.1498425
             412       -21.09195        44.30265      -0.4496143      -0.1839408
             413       -18.78777        46.04398       -0.207844       0.6826097
             414       -19.80928        46.98798       0.5186115       0.1099692
             415       -18.96541        47.18304       0.5591786        0.656561
             416       -21.42423        46.39942        1.328368      -0.4625669
             417       -20.01332        46.81858       0.9370914       -1.210461
             418       -20.10292        46.66287        3.891143       0.5590009
             419       -20.08141        46.57431        1.053253       -0.588256
             420       -20.36237        48.12982       0.7975022       0.7175542
             421       -19.79914        48.23392        1.183019       0.7199814
             422       -18.00337        49.19053     -0.08077606       0.1496331
             423       -18.87636        48.80097       -0.818769       -1.003501
             424       -18.73174        48.01225       -1.291605       0.8341141
             425        -19.0178        47.73424      -0.5451041      -0.8499895
             426       -17.51064        46.32409       0.2455378       -1.036974
             427       -19.27221        45.38066      -0.8560814      -0.7015754
             428       -20.30288        44.46223      0.02751312       -1.642745
             429       -21.27354        44.88961      0.06350834       -2.366149
             430        -21.8782        45.78098       -0.822735      -0.5110891
             431          -22.87        46.52315       -2.093755        1.578859
             432       -23.34844        48.06157       -1.455851        1.249622
             433       -22.31323        47.81361      -0.2827126        1.990639
             434       -19.97779        47.97446       -1.345378        1.237306
             435       -19.82367        47.35289      -0.8114251       0.5679786
             436       -20.74135        46.16424       0.6319237       0.2027848
             437       -21.01783        46.54786        0.382618        1.721704
             438       -19.77946        48.52951      -0.4479602      -0.7197332
             439       -20.90251        46.11564       -1.002332        1.442552
             440       -22.33014        47.89416     -0.07930293       0.2687489
             441       -22.90889        47.37496       0.6172425       0.6684737
             442       -22.82198        47.96552       0.5060612      -0.9254654
             443       -23.74376        46.53753      -0.5527875       0.4151069
             444       -24.59115        45.78788      -0.7607156       0.8536265
             445        -23.9752        45.40611       0.0512475      -0.5311263
             446       -23.89965        45.48363        1.504784       -1.286494
             447       -24.11464        44.58906       0.1425811       -1.123101
             448       -23.95052        44.45412      -0.2948034       0.9639072
             449       -23.21219        44.22683      -0.7174902       0.9484261
             450       -23.14995        42.63977       -1.044654        1.526202
             451       -24.28305        44.31164      -0.6683059        1.448214
             452       -23.33653        44.10723      -0.6908777       0.9224483
             453       -23.28599        44.60533      -0.9745579       -1.214492
             454       -21.30361        43.23583       -2.793892      -0.2839595
             455       -22.75562        43.64348       -2.797112       -0.315229
             456        -23.8921        43.56782       -1.878244       -1.195207
             457       -25.72951        43.23952      -0.9065322       -1.072797
             458       -25.37768        42.13261       -1.091144       0.2777659
             459       -26.62893        43.41051      -0.4160287      -0.4690456
             460       -26.59673         42.6247        1.034543      -0.7296452
             461        -25.7816        42.93268         -0.6247       -1.401259
             462       -24.33152        40.63253        1.283855        -1.78012
             463       -23.39555        39.27704       0.7917573       0.1427579
             464       -22.87243        40.07333       0.5770337       0.8196365
             465       -22.15926        37.89341      -0.3074229      -0.2891365
             466       -22.50628        37.47153        1.044205      0.01240433
             467       -21.06984        36.93002       0.2529351       0.6249107
             468        -20.1834        38.33218       0.9145099       0.7182012
             469       -21.31525        39.51496      -0.2696705      -0.1507662
             470       -22.13527        40.47041      -0.3853453       -1.111391
             471       -21.81282        39.45024        2.382877       0.3346261
             472       -21.33251         40.8691       0.3451368        0.183533
             473       -21.76188        40.56927        1.847322      -0.3952928
             474       -21.55302        41.70085        1.955656     -0.09342889
             475       -20.55754        43.73913      -0.7590224      -0.0947023
             476       -20.41509         43.5587       -1.411647      -0.2858553
             477       -21.25021        44.15638     -0.07963429       0.1168961
             478       -20.71516        43.91614      -0.3338601        1.461738
             479       -22.12301        44.83797     -0.05752068       0.8278111
             480       -22.39214        45.20928       0.5359377        1.451357
             481       -21.95514        44.38493      -0.7314127       0.3908031
             482       -21.88283        43.77665       0.1586641      -0.5732223
             483       -23.61492        43.69337      -0.8404882       -0.257931
             484       -23.82394        42.41121       -2.187717      -0.8445104
             485       -24.92659        40.98202      -0.5811084        1.576649
             486       -25.52938        40.05927         0.76718      -0.5940039
             487        -25.2995        39.26042       0.5782853       0.9470382
             488       -25.94944        39.59988       0.8282453        1.114043
             489       -26.15129        39.52765      -0.2040884        1.466993
             490       -26.55612        40.01633       0.3562365      -0.7241768
             491       -26.95417        39.55529     -0.09862721       0.2255214
             492       -28.41436        38.44765       0.3970022        1.515977
             493       -28.48847        40.53675       0.5214373        1.311042
             494       -27.97202        41.23476       -0.344732       0.4195833
             495       -28.80507        42.44987      -0.4072091        2.004718
             496       -29.02061        44.04032       0.9424703       0.5287679
             497       -27.90236        45.14337        0.208065       0.6920547
             498       -27.40278        43.42722      -0.2406664       0.2494587
             499       -27.58395        42.72784       0.7200732        1.458809
             500       -28.97401        43.03954         1.39532        2.181726
             501       -26.95787        42.09236        1.450453         0.38852
             502       -26.31272        42.17349      -0.5025503        -1.16826
             503       -26.17781        40.92942       0.4279439       0.4392459
             504       -25.97234        41.10218       -1.196404       0.3141524
             505       -26.50952        41.29069      -0.4665755      -0.8544361
             506       -28.22826        43.88304       -1.428667       0.1429763
             507       -28.87627        44.10712      -0.9638839       -1.278997
             508       -29.37473        44.04072       -1.099068      -0.6319967
             509       -29.21924        44.28034       -1.310161       0.5574944
             510       -30.54263        42.71365       -1.483068        0.306204
             511       -32.09377        41.25528       0.5259826      0.03166226
             512       -33.71229        38.94131       0.2025047        1.497397
             513       -33.62117        37.64881      -0.6934705        1.133685
             514       -33.91793        38.40945       -0.555649      -0.9038459
             515       -34.88127        37.66075      0.06778349       -1.249286
             516       -34.04157        36.10794       -1.449386      -0.6415667
             517       -33.86112        34.51455      -0.4362274       -2.042985
             518       -36.09022        34.54306       0.5613963       0.2488612
             519       -36.27748        36.40028      -0.1228372       -1.010009
             520       -36.27692        37.51084       -1.501677       0.8532251
             521        -37.5586        37.75512      -0.9166955       -1.213342
             522       -38.92035         38.3884      -0.7460289      -0.6674466
             523       -39.22889        37.48066       0.4514915        1.391749
             524       -39.88244        36.91971        1.270455       0.4704956
             525       -39.31837        36.75262       0.7618413      0.08972262
             526       -37.70192        36.53335       0.3052168      -0.8282315
             527       -37.09197         35.5394       -1.106893       -2.476762
             528       -36.85102        35.22138    -0.007137932      -0.7948311
             529       -38.08846        35.77896     -0.07813525       0.9746914
             530        -37.8541        35.33249        1.874602       -3.104453
             531       -38.27534        33.92025      -0.8695373       -3.004089
             532       -39.47402        34.15844        1.134625      -0.6556634
             533       -39.82571         35.0796       0.8695235    0.0002748898
             534        -39.1568        35.47489       0.5885028      -0.1086383
             535       -39.87986         35.0185       -1.201495       0.6820075
             536       -40.38073        35.56713      -0.2303183        1.137264
